YEAR,ZIP CODE,NO. OF RETURNS,AGI
2007,76689,1668,70251
2007,76690,590,18280
2007,76691,3157,125104
2007,76692,4807,184263
2007,76693,804,27212
2007,76701,495,20420
2007,76702,626,40424
2007,76703,588,31395
2007,76704,3590,56040
2007,76705,12521,368873
2007,76706,12043,365100
2007,76707,6911,139412
2007,76708,10796,394744
2007,76710,11758,677861
2007,76711,3831,87276
2007,76712,10430,705533
2007,76714,450,48594
2007,76715,489,12625
2007,76716,23,566
2007,76798,75,985
2007,76801,11211,390527
2007,76802,2214,84854
2007,76803,228,7547
2007,76804,777,38288
2007,76820,53,1787
2007,76821,2428,77243
2007,76823,1489,43930
2007,76824,34,1214
2007,76825,3533,115753
2007,76827,183,7360
2007,76828,93,3452
2007,76831,49,772
2007,76832,265,12851
2007,76834,3012,87943
2007,76836,24,685
2007,76837,715,22148
2007,76841,63,1724
2007,76842,76,1876
2007,76844,1702,62995
2007,76845,72,2033
2007,76848,34,568
2007,76849,1947,68477
2007,76852,115,4188
2007,76853,699,22081
2007,76854,195,7404
2007,76855,11,388
2007,76856,1761,67067
2007,76857,796,27300
2007,76858,134,3193
2007,76859,1012,34831
2007,76861,943,36499
2007,76862,86,4204
2007,76864,323,11697
2007,76865,67,1106
2007,76866,271,10580
2007,76869,86,3385
2007,76870,112,2862
2007,76871,363,10765
2007,76872,337,12376
2007,76873,25,357
2007,76874,39,1055
2007,76875,329,12161
2007,76877,1927,60186
2007,76878,789,30856
2007,76880,44,930
2007,76882,129,4004
2007,76884,87,2218
2007,76885,96,3155
2007,76886,79,2928
2007,76887,59,1951
2007,76888,56,1577
2007,76890,407,14229
2007,76901,13094,550054
2007,76902,1193,155260
2007,76903,14950,416546
2007,76904,14546,1003226
2007,76905,4900,172655
2007,76906,623,51170
2007,76908,713,12332
2007,76909,101,598
2007,76930,75,3096
2007,76932,1468,69340
2007,76933,625,25003
2007,76934,624,15796
2007,76935,719,53498
2007,76936,1351,60176
2007,76937,144,4134
2007,76939,92,2513
2007,76940,108,3125
2007,76941,684,38967
2007,76943,1838,91467
2007,76945,900,30298
2007,76950,2232,134028
2007,76951,576,33401
2007,76953,40,1820
2007,76955,62,2480
2007,76957,130,7427
2007,76958,162,7687
2007,77001,392,40568
2007,77002,3370,819744
2007,77003,4216,147205
2007,77004,12487,535364
2007,77005,10210,2793220
2007,77006,10555,995233
2007,77007,15048,1578160
2007,77008,15264,1072982
2007,77009,17315,701199
2007,77010,186,62777
2007,77011,7545,172537
2007,77012,7606,182004
2007,77013,6252,178206
2007,77014,11056,388497
2007,77015,21105,753106
2007,77016,14391,305988
2007,77017,12428,367928
2007,77018,12933,731997
2007,77019,9483,2427904
2007,77020,11071,266981
2007,77021,12733,345984
2007,77022,12882,283087
2007,77023,11727,346528
2007,77024,15308,5160609
2007,77025,11389,987892
2007,77026,11352,212315
2007,77027,7539,1334579
2007,77028,8404,163628
2007,77029,8213,220898
2007,77030,4804,549105
2007,77031,6258,230091
2007,77032,4341,112717
2007,77033,14083,279942
2007,77034,12819,417007
2007,77035,14545,574405
2007,77036,22601,624620
2007,77037,7074,190688
2007,77038,9355,258893
2007,77039,10693,296308
2007,77040,19741,1135765
2007,77041,15469,1214037
2007,77042,17581,1198678
2007,77043,10247,509529
2007,77044,10895,567733
2007,77045,13248,347005
2007,77046,713,144051
2007,77047,9427,297040
2007,77048,7091,174332
2007,77049,10946,416435
2007,77050,1887,50946
2007,77051,7126,127184
2007,77052,366,17129
2007,77053,12544,346566
2007,77054,10374,390651
2007,77055,15261,1092733
2007,77056,9615,2587428
2007,77057,17497,1866809
2007,77058,8246,489484
2007,77059,7549,1003488
2007,77060,13832,356048
2007,77061,9183,286885
2007,77062,11852,943480
2007,77063,15194,882583
2007,77064,19698,1095873
2007,77065,15381,825974
2007,77066,13671,595361
2007,77067,11562,336662
2007,77068,4619,366404
2007,77069,7912,895503
2007,77070,19740,1267475
2007,77071,11712,477061
2007,77072,22674,601498
2007,77073,12697,469531
2007,77074,14032,434347
2007,77075,13951,464345
2007,77076,11717,295209
2007,77077,23386,1833383
2007,77078,6298,146062
2007,77079,14776,1789159
2007,77080,16702,617219
2007,77081,14995,460970
2007,77082,21473,1248211
2007,77083,29829,1059759
2007,77084,38717,1834696
2007,77085,6589,196115
2007,77086,10887,319991
2007,77087,14910,405338
2007,77088,22601,681180
2007,77089,21462,948448
2007,77090,12823,512339
2007,77091,10643,259737
2007,77092,15601,764890
2007,77093,17685,401778
2007,77094,4127,662133
2007,77095,28410,2089210
2007,77096,15172,1146018
2007,77098,6761,769796
2007,77099,18985,528560
2007,77204,16,294
2007,77205,465,30274
2007,77206,165,6925
2007,77207,536,24928
2007,77208,83,9187
2007,77210,1967,564250
2007,77213,280,8755
2007,77215,396,12973
2007,77217,96,3645
2007,77218,216,15209
2007,77219,529,89011
2007,77220,279,10377
2007,77221,362,8814
2007,77222,254,5476
2007,77223,289,8945
2007,77224,186,20750
2007,77225,217,16446
2007,77226,206,3724
2007,77227,574,121580
2007,77228,313,7100
2007,77229,186,6689
2007,77230,297,12297
2007,77231,485,18576
2007,77233,460,10606
2007,77234,277,11588
2007,77235,212,11623
2007,77236,246,7758
2007,77237,103,10470
2007,77238,333,8540
2007,77240,168,11705
2007,77241,135,9861
2007,77242,634,35690
2007,77243,173,7161
2007,77244,245,11636
2007,77245,529,18512
2007,77248,161,7741
2007,77249,302,20492
2007,77251,338,52016
2007,77252,198,29409
2007,77253,217,31488
2007,77254,293,23964
2007,77255,385,21193
2007,77256,127,21732
2007,77257,516,35776
2007,77258,286,20387
2007,77259,225,11863
2007,77261,157,3855
2007,77262,126,5209
2007,77263,345,14131
2007,77265,143,13243
2007,77266,415,26213
2007,77267,597,21616
2007,77268,469,19330
2007,77269,408,29400
2007,77270,404,26750
2007,77271,394,14202
2007,77272,573,17164
2007,77273,152,5502
2007,77274,492,17694
2007,77275,342,14504
2007,77277,337,48003
2007,77279,124,9771
2007,77280,246,10963
2007,77282,247,16084
2007,77284,535,25968
2007,77287,196,5459
2007,77288,214,7405
2007,77289,176,14052
2007,77290,253,9385
2007,77291,198,4229
2007,77292,460,34934
2007,77293,493,11311
2007,77301,10178,300720
2007,77302,7452,406117
2007,77303,6399,242292
2007,77304,9319,595425
2007,77305,1278,74188
2007,77306,4298,133591
2007,77316,6097,370837
2007,77318,5994,375474
2007,77320,8607,314839
2007,77325,408,37922
2007,77326,201,4802
2007,77327,7771,267141
2007,77328,6369,238401
2007,77331,2989,123192
2007,77332,57,1512
2007,77333,223,7910
2007,77334,319,9539
2007,77335,1054,28766
2007,77336,5341,304869
2007,77338,13590,514197
2007,77339,16522,1343214
2007,77340,9166,378670
2007,77341,65,450
2007,77342,1472,55981
2007,77343,27,168
2007,77345,11458,1603806
2007,77346,22026,1624707
2007,77347,939,55003
2007,77348,14,13
2007,77349,26,123
2007,77350,285,7008
2007,77351,12237,437453
2007,77353,557,32117
2007,77354,11602,813907
2007,77355,9755,671585
2007,77356,11221,1121967
2007,77357,8559,344166
2007,77358,2330,89685
2007,77359,358,10360
2007,77360,2739,77178
2007,77362,2185,125804
2007,77363,1347,52702
2007,77364,1106,37712
2007,77365,10400,504847
2007,77367,482,18450
2007,77368,241,6128
2007,77369,635,13408
2007,77371,3226,90808
2007,77372,4993,176633
2007,77373,23673,1116563
2007,77374,210,8486
2007,77375,15474,871466
